href;tomatometer;audience_score;genre;director;runtime;studio;cast;date
https://www.rottentomatoes.com/m/chicago;86;83;Comedy|Drama|Musical & Performing Arts;Rob Marshall;113 minutes;Miramax Films;Renée Zellweger|Catherine Zeta-Jones|Richard Gere|Queen Latifah|John C. Reilly|Dominic West;2002-12-26T16:00:00-08:00
https://www.rottentomatoes.com/m/friends_with_kids;68;49;Comedy|Drama;Jennifer Westfeldt;107 minutes;Roadside Attractions;Adam Scott|Jennifer Westfeldt|Jon Hamm|Kristen Wiig|Maya Rudolph|Chris O'Dowd;2012-03-08T16:00:00-08:00
https://www.rottentomatoes.com/m/autumn_in_new_york;19;54;Drama|Romance;Joan Chen;103 minutes;MGM;Richard Gere|Winona Ryder|Anthony LaPaglia|Elaine Stritch|Vera Farmiga|Sherry Stringfield;2000-08-10T17:00:00-07:00
https://www.rottentomatoes.com/m/1078028-hercules;84;76;Animation|Kids & Family|Science Fiction & Fantasy;John Musker|Ron Clements;93 minutes;Buena Vista Internationa;Tate Donovan|Danny DeVito|James Woods|Susan Egan|Bobcat Goldthwait|Matt Frewer;1997-06-14T17:00:00-07:00
https://www.rottentomatoes.com/m/blue_jasmine;91;77;Comedy;Woody Allen;98 minutes;Sony Pictures Classics;Alec Baldwin|Cate Blanchett|Sally Hawkins|Andrew Dice Clay|Alden Ehrenreich|Louis C.K.;2013-07-25T17:00:00-07:00
https://www.rottentomatoes.com/m/la-lengua-de-las-mariposas-butterfly-butterfly-tongues;96;91;Drama|Musical & Performing Arts;José Luis Cuerda;95 minutes;Sogetel;Manuel Lozano|Fernando Fernán Gómez|Uxía Blanco|Gonzalo Martin Uriarte|Alexis de Los Santos|Guillermo Toledo;1999-12-31T16:00:00-08:00
https://www.rottentomatoes.com/m/1054344-it_could_happen_to_you;71;54;Comedy|Drama|Romance;Andrew Bergman;102 minutes;Sony Pictures Home Entertainment;Nicolas Cage|Bridget Fonda|Rosie Perez|Wendell Pierce|Isaac Hayes|Victor Rojas;1994-07-28T17:00:00-07:00
https://www.rottentomatoes.com/m/10010214-fireproof;40;82;Drama;Alex Kendrick;118 minutes;Sherwood Pictures;Kirk Cameron|Erin Bethea|Ken Bevel|Jason McLeod|Harris Malcolm|Stephen Dervan;2008-09-25T17:00:00-07:00
https://www.rottentomatoes.com/m/au_revoir_les_enfants;97;93;Art House & International|Drama;Louis Malle|Renato Berta;104 minutes;Criterion Collection;Gaspard Manesse|Francine Racette|Raphael Fejtö|Stanislas Carre de Malberg|Philippe Morier-Genoud|François Berléand;1987-08-28T17:00:00-07:00
https://www.rottentomatoes.com/m/you_will_meet_a_tall_dark_stranger;45;34;Comedy|Drama|Musical & Performing Arts|Romance;Woody Allen;98 minutes;Sony Pictures Classics;Antonio Banderas|Josh Brolin|Anthony Hopkins|Naomi Watts|Gemma Jones|Freida Pinto;2010-09-21T17:00:00-07:00
https://www.rottentomatoes.com/m/el_cuerpo;;78;Art House & International|Mystery & Suspense;Oriol Paulo;110 minutes;Sony Pictures Releasing;José Coronado|Belén Rueda|Hugo Silva (III)|Aura Garrido|Juan Pablo Shuk|Cristina Plazas;2010-09-21T17:00:00-07:00
