Title,Year,Rating,Date Rated,URL,Poster URL
Christopher robin,2018,4.5,15-01-2019,https://www.rottentomatoes.com/m/christopher_robin,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15176575_p_v8_ac.jpg
Mowgli: legend of the jungle,2018,4.5,15-01-2019,https://www.rottentomatoes.com/m/mowgli_legend_of_the_jungle,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13648041_p_v13_aj.jpg
Surf's up,2007,4.5,15-01-2019,https://www.rottentomatoes.com/m/surfs_up,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p159732_p_v8_az.jpg
Widows,2018,4.5,16-12-2018,https://www.rottentomatoes.com/m/widows_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15495823_p_v8_ab.jpg
To all the boys i've loved before,2018,3.5,16-12-2018,https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15663025_p_v8_aa.jpg
I am not an easy man,2018,4,11-11-2018,https://www.rottentomatoes.com/m/i_am_not_an_easy_man,https://www.rottentomatoes.com/images/poster_default.gif
Feminists: what were they thinking?,2018,4.5,11-11-2018,https://www.rottentomatoes.com/m/feminists_what_were_they_thinking,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15508467_p_v11_aa.jpg
20th century women,2016,5,11-11-2018,https://www.rottentomatoes.com/m/20th_century_women,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13103550_p_v8_ab.jpg
Dude,2018,3,11-11-2018,https://www.rottentomatoes.com/m/dude,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15349226_p_v7_aa.jpg
Trainwreck,2015,3.5,11-11-2018,https://www.rottentomatoes.com/m/trainwreck,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11395383_p_v8_at.jpg
Cuba and the cameraman,2017,5,11-11-2018,https://www.rottentomatoes.com/m/cuba_and_the_cameraman,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14780360_p_v8_aa.jpg
The land of steady habits,2018,4.5,11-11-2018,https://www.rottentomatoes.com/m/the_land_of_steady_habits,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15873037_p_v8_aa.jpg
Mudbound,2017,5,11-11-2018,https://www.rottentomatoes.com/m/mudbound,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14307159_p_v8_aa.jpg
To the bone,2017,3.5,11-11-2018,https://www.rottentomatoes.com/m/to_the_bone,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13764614_p_v8_aa.jpg
To each her own,2018,4,11-11-2018,https://www.rottentomatoes.com/m/to_each_her_own_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15598297_p_v8_aa.jpg
Madame,2017,4,11-11-2018,https://www.rottentomatoes.com/m/madame_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14883175_p_v8_ab.jpg
Finding your feet,2017,4.5,11-11-2018,https://www.rottentomatoes.com/m/finding_your_feet,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15000428_p_v8_aa.jpg
Aus dem nichts,2017,4.5,11-11-2018,https://www.rottentomatoes.com/m/in_the_fade,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14449060_p_v8_ar.jpg
A chinese tale,2011,4,11-11-2018,https://www.rottentomatoes.com/m/chinese_take_out,https://www.rottentomatoes.com/images/poster_default.gif
Rodin,2017,3,11-11-2018,https://www.rottentomatoes.com/m/rodin_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14756281_p_v8_aj.jpg
Words and pictures,2013,4,11-11-2018,https://www.rottentomatoes.com/m/words_and_pictures,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10596111_p_v8_ab.jpg
The hundred-foot journey,2014,4.5,11-11-2018,https://www.rottentomatoes.com/m/the_hundred_foot_journey,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10479219_p_v8_ai.jpg
Get out,2017,5,11-11-2018,https://www.rottentomatoes.com/m/get_out,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13365032_p_v8_ae.jpg
Game night,2018,4,11-11-2018,https://www.rottentomatoes.com/m/game_night_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14505122_p_v8_ba.jpg
Three billboards outside ebbing missouri,2017,5,11-11-2018,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13959124_p_v8_af.jpg
Lady bird,2017,4.5,11-11-2018,https://www.rottentomatoes.com/m/lady_bird,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14426291_p_v8_ad.jpg
Phantom thread,2017,4.5,11-11-2018,https://www.rottentomatoes.com/m/phantom_thread,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14691563_p_v8_ag.jpg
Captain phillips,2013,4,11-11-2018,https://www.rottentomatoes.com/m/captain_phillips,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p9968629_p_v8_af.jpg
Jumanji: welcome to the jungle,2017,3.5,11-11-2018,https://www.rottentomatoes.com/m/jumanji_welcome_to_the_jungle,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13499680_p_v8_bb.jpg
The shape of water,2017,3.5,11-11-2018,https://www.rottentomatoes.com/m/the_shape_of_water_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14064584_p_v8_ae.jpg
It,2017,4.5,11-11-2017,https://www.rottentomatoes.com/m/it_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13610713_p_v8_ae.jpg
I am not a witch,2017,4,11-11-2017,https://www.rottentomatoes.com/m/i_am_not_a_witch,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14603388_p_v8_aa.jpg
Despicable me 3,2017,4,11-11-2017,https://www.rottentomatoes.com/m/despicable_me_3,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/153152/153152_aa.jpg
Don't say a word,2001,3.5,11-11-2017,https://www.rottentomatoes.com/m/dont_say_a_word,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p28392_p_v8_aa.jpg
The hand that rocks the cradle,1992,4,11-11-2017,https://www.rottentomatoes.com/m/the_hand_that_rocks_the_cradle,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13677_p_v8_ae.jpg
Dunkirk,2017,4.5,11-11-2017,https://www.rottentomatoes.com/m/dunkirk_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13153578_p_v8_af.jpg
Lion,2016,5,11-11-2017,https://www.rottentomatoes.com/m/lion_2016,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12820555_p_v8_ab.jpg
Wonder woman,2017,3.5,11-11-2017,https://www.rottentomatoes.com/m/wonder_woman_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/168195/168195_ab.jpg
El faro de las orcas,2016,4,11-11-2017,https://www.rottentomatoes.com/m/the_lighthouse_of_the_whales,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13992961_p_v8_ab.jpg
Reaching for the moon,2013,5,11-11-2017,https://www.rottentomatoes.com/m/flores_raras,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p9914806_p_v8_aa.jpg
The road within,2014,3.5,11-11-2017,https://www.rottentomatoes.com/m/the_road_within,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11512291_p_v8_ab.jpg
Big,1988,4,11-11-2017,https://www.rottentomatoes.com/m/big,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10873_p_v8_af.jpg
Beauty and the beast,2017,3.5,11-11-2017,https://www.rottentomatoes.com/m/beauty_and_the_beast_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11606343_p_v8_at.jpg
Aloha,2015,3.5,11-11-2017,https://www.rottentomatoes.com/m/aloha_2015,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11490980_p_v8_am.jpg
T2 trainspotting,2017,3.5,11-11-2017,https://www.rottentomatoes.com/m/t2_trainspotting,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12910323_p_v8_ar.jpg
The boss baby,2017,3.5,11-11-2017,https://www.rottentomatoes.com/m/the_boss_baby,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/164732/164732_aa.jpg
Saving mr. banks,2013,4.5,11-11-2017,https://www.rottentomatoes.com/m/saving_mr_banks_2013,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p9497011_p_v8_aa.jpg
Logan,2017,3,11-11-2017,https://www.rottentomatoes.com/m/logan_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12792395_p_v8_al.jpg
La la land,2016,4,11-11-2017,https://www.rottentomatoes.com/m/la_la_land,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/158061/158061_ab.jpg
Freeheld,2015,2.5,11-11-2017,https://www.rottentomatoes.com/m/freeheld_2015,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11730158_p_v8_ad.jpg
The rite,2011,1,11-11-2017,https://www.rottentomatoes.com/m/the_rite,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p8214244_p_v8_al.jpg
Office christmas party,2016,2.5,11-11-2017,https://www.rottentomatoes.com/m/office_christmas_party,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12936250_p_v8_ab.jpg
Ask me anything,2014,3,11-11-2017,https://www.rottentomatoes.com/m/ask_me_anything,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11201067_p_v8_ab.jpg
Mother's day,2016,3,11-11-2017,https://www.rottentomatoes.com/m/mothers_day_2016,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12283042_p_v8_ad.jpg
The man who knew infinity,2015,4,11-11-2017,https://www.rottentomatoes.com/m/the_man_who_knew_infinity,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12285676_p_v8_ac.jpg
Race,2016,4,11-11-2017,https://www.rottentomatoes.com/m/race_2016,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12107483_p_v8_ac.jpg
Café society,2016,5,11-11-2017,https://www.rottentomatoes.com/m/cafe_society_2016,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/162035/162035_aa.jpg
Tengo ganas de ti,2012,2.5,11-11-2017,https://www.rottentomatoes.com/m/tengo_ganas_de_ti,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p9647931_p_v8_ab.jpg
Three steps above heaven,2010,3.5,11-11-2017,https://www.rottentomatoes.com/m/tres_metros_sobre_el_cielo_2010,https://www.rottentomatoes.com/images/poster_default.gif
Very good girls,2013,4,11-11-2017,https://www.rottentomatoes.com/m/very_good_girls,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10567308_p_v8_aa.jpg
Blind date,2015,3.5,11-11-2017,https://www.rottentomatoes.com/m/un_peu_beaucoup_aveuglement,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12260755_p_v8_ab.jpg
Ouija: origin of evil,2016,3.5,11-11-2016,https://www.rottentomatoes.com/m/ouija_origin_of_evil,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12770833_p_v8_ad.jpg
Tom at the farm,2013,4,11-11-2016,https://www.rottentomatoes.com/m/tom_at_the_farm,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10225058_p_v8_ac.jpg
Home sweet hell,2015,3,11-11-2016,https://www.rottentomatoes.com/m/home_sweet_hell,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11139567_p_v8_aa.jpg
Rio i love you,2014,4,11-11-2016,https://www.rottentomatoes.com/m/rio_i_love_you,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11644051_p_v8_ad.jpg
Remember,2015,5,11-11-2016,https://www.rottentomatoes.com/m/remember_2016,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12168079_p_v8_ao.jpg
Suite française,2014,4,11-11-2016,https://www.rottentomatoes.com/m/suite_francaise,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p11562665_p_v13_ag.jpg
The big lebowski,1998,4,11-11-2016,https://www.rottentomatoes.com/m/big_lebowski,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p20484_p_v8_ad.jpg
Stuck in love,2012,4,11-11-2016,https://www.rottentomatoes.com/m/stuck_in_love,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p9816875_p_v8_aa.jpg
